FEN,White,Black,Move,Knight_Promo_Score,Queen_Promo_Score,Knight_Win_Prob,Queen_Win_Prob,Classification
2r3k1/5ppp/1q6/3pBb2/3P4/Q3PB1P/1p3PP1/R5K1 b - - 2 25,Lynx_BOT,YukariBot,b2a1n,-43,-62,0.5376,0.554,Equivalent
8/8/6Q1/8/7k/2P2K2/P5p1/8 b - - 3 62,QuCq,aqua7777,g2g1n,9997,9999,0.0,0.0,Equivalent
7K/6P1/4Q3/3R4/1k6/8/8/8 w - - 1 76,cinder-bot,simbelmyne-bot,g7g8n,9997,9998,1.0,1.0,Equivalent
7R/5PK1/8/3k4/8/8/6n1/8 w - - 1 96,cinder-bot,odonata-bot,f7f8n,256,9991,0.7101,1.0,Style / Flex
8/8/8/8/8/1k6/p7/6K1 b - - 0 74,odonata-bot,cinder-bot,a2a1n,-15,-9993,0.5131,1.0,Blunder
6R1/5K1k/8/1p6/1P6/8/6p1/8 b - - 0 46,Eliteplayer001,itilted,g2g1n,9987,9987,0.0,0.0,Equivalent
8/3P1k2/pP6/2p2K1p/6p1/6b1/4r1P1/1R6 w - - 0 55,ShallowGuessBOT,fornax-engine,d7d8n,-138,-9999,0.3815,0.0,Brilliant
1Q6/3pP1pp/6k1/2p5/P4P2/8/1P4bP/4R1K1 w - - 0 33,PassiveHero,Norbertt_9,e7e8n,9995,9998,1.0,1.0,Equivalent
7k/p6p/7r/1N5q/1PpPQP2/4P3/P1R4p/6RK b - - 0 37,CPU2010,PatriciaBot,h2g1n,-75,-87,0.5653,0.5755,Equivalent
q7/5P1k/4PQp1/7p/7P/6P1/5P1K/3r4 w - - 1 45,JakobVangGlud,b31b6Consultant,f7f8n,9984,-9999,1.0,0.0,Brilliant
8/P7/2Q5/1K3k2/1P6/8/8/8 w - - 1 69,cinder-bot,simbelmyne-bot,a7a8n,9992,9997,1.0,1.0,Equivalent
k7/2QN4/4p3/5p2/p4P2/PP6/3p1K2/8 b - - 5 71,caissa-x,unyque999,d2d1n,9998,9999,0.0,0.0,Equivalent
5rk1/1p3bpp/p1q1p2P/4Q3/1P3BP1/8/P4p1K/R7 b - - 1 30,AmandeepGoral,cocafanta,f2f1n,26,9999,0.4773,0.0,Brilliant
8/6P1/3k4/p2p1B2/P2K4/2p5/1p6/8 b - - 0 54,canary_colinbot,YukariBot,b2b1n,9992,9992,0.0,0.0,Equivalent
5Q2/P7/8/8/6P1/8/4k3/6K1 w - - 1 73,Shocky_BOT,ChessatronBot,a7a8n,9993,9997,1.0,1.0,Equivalent
N4Q2/6P1/8/8/8/3k4/8/6K1 w - - 1 77,Shocky_BOT,ChessatronBot,g7g8n,9990,9997,1.0,1.0,Equivalent
8/8/6k1/5ppp/3q4/6PK/2p5/8 b - - 1 57,Knights4base,sergiosacani,c2c1n,-9995,-9998,1.0,1.0,Equivalent
4R3/8/8/5b2/5k2/1K6/4p3/8 b - - 0 107,odonata-bot,cinder-bot,e2e1n,19,41,0.4834,0.4642,Equivalent
6k1/5ppp/3p1b2/3P4/8/1R1B4/2p1KPPP/r7 b - - 1 28,rtahmass,BoneCrusher2020,c2c1n,-723,9997,0.9263,0.0,Brilliant
2r5/3RPrk1/1pp2qp1/p3R2p/5np1/P3Q3/1PB5/6K1 w - - 0 47,Lakshan_18,simbelmyne-bot,e7e8n,289,303,0.7333,0.7428,Equivalent
6Q1/R4Pp1/6kp/8/2q5/8/2r4P/5R1K w - - 3 31,horeet,chessmount,f7f8n,9994,9991,1.0,1.0,Equivalent
3r1k2/2R4R/2r4p/8/5P2/4P3/2p1K1PP/8 b - - 6 38,CPU2002,CPU1998,c2c1n,11,9999,0.4904,0.0,Brilliant
4k3/8/5Rp1/5N2/7P/6r1/5p1K/8 b - - 0 57,enriann10,Sc_Oblivion,f2f1n,-15,282,0.5131,0.2715,Brilliant
2Q5/8/8/8/5P2/8/k3pPK1/8 b - - 0 60,Ekvip,JonJonesTheDuck,e2e1n,9990,428,0.0,0.1827,Suboptimal
8/2KP4/5B2/1kn5/8/8/8/8 w - - 9 153,simbelmyne-bot,cinder-bot,d7d8n,28,-5,0.5245,0.4956,Equivalent
8/r1P4R/3k1p2/8/5PK1/8/8/8 w - - 0 52,musadlane,Pygmaioi,c7c8n,960,567,0.9664,0.8792,Optimal
7r/3P4/p1K1k3/R5B1/7P/8/2P5/8 w - - 0 53,Euwe-chess-engine,FataliiBot,d7d8n,9993,9993,1.0,1.0,Equivalent
8/6KP/8/8/6k1/8/8/2B5 w - - 1 69,nikakogo_prazdnika,Guary1,h7h8n,206,9994,0.6728,1.0,Style / Flex
3r2k1/pb4q1/1p1pP1N1/2p3Q1/2P1p1P1/1P3r1R/P3pPK1/7R b - - 2 31,morus22,MothToTheFlame,e2e1n,881,9997,0.0438,0.0,Equivalent
RQ6/7P/6p1/5k2/2K5/8/8/8 w - - 1 66,PZChessBot,InanisBot,h7h8n,9996,9997,1.0,1.0,Equivalent
8/b7/8/8/4N3/1K6/4kp2/8 b - - 1 100,Boller1910,ArasanX,f2f1n,-25,-1,0.5219,0.5009,Equivalent
3r4/4P1k1/p5pb/1p2p1q1/8/1QP1N1P1/PP3r2/R3K2R w KQ - 1 26,PZChessBot,eubos,e7e8n,-457,-9999,0.1681,0.0,Optimal
8/6P1/8/3K4/8/8/4k3/8 w - - 1 78,cinder-bot,YukariBot,g7g8n,0,9993,0.5,1.0,Blunder
8/5kP1/4p3/8/8/4p1K1/8/8 w - - 0 62,AkuBot,InanisBot,g7g8n,-6,0,0.4948,0.5,Equivalent
brr5/4k1Pp/pq1p1b2/4pP2/4P3/1BN5/1PnBQ3/1K1R3R w - - 0 27,Buster014,NewYorker07,g7g8n,295,305,0.7374,0.7441,Equivalent
5rrk/4P1b1/6Qp/8/p6P/P1p2P2/2P5/K3R3 w - - 5 55,LeelaMultiPoss,odonata-bot,e7f8n,816,948,0.9456,0.965,Equivalent
8/6P1/1P5k/5Q2/8/q7/5BPK/8 w - - 11 54,Xmaskerino_Student,cedchass25,g7g8n,9994,0,1.0,0.5,Brilliant
6r1/1P3k2/2B5/1R3PBp/7P/6K1/8/8 w - - 1 53,passionatelover6969,Stallion28,b7b8n,1254,9996,0.9877,1.0,Equivalent
5r2/8/8/4R3/2q3R1/2k1K2P/3p4/8 b - - 15 66,simpleEval,CPU2002,d2d1n,-10000,-9994,1.0,1.0,Equivalent
4r3/2P5/2R5/1p6/1k6/8/2K5/8 w - - 0 65,LichForLabs,abudabi22840,c7c8n,24,9982,0.521,1.0,Blunder
3rr1k1/ppP2pbp/6p1/4Nb2/3P1Q2/7P/PqP1B1P1/5RK1 w - - 0 21,Shocky_BOT,ChessatronBot,c7d8n,-77,-58,0.433,0.4494,Equivalent
8/Pk6/8/8/8/8/4K3/8 w - - 0 82,cinder-bot,SaxtonEngine,a7a8n,0,0,0.5,0.5,Equivalent
8/8/8/6K1/8/5q2/4k1p1/8 b - - 1 78,SLCAEBSTPSFKKKAC,mirshoja,g2g1n,-9994,-9999,1.0,1.0,Equivalent
rn3bk1/6p1/6q1/8/8/7K/5p2/1b6 b - - 7 60,alexcrafter67,ranibow_ghost,f2f1n,-9998,-9999,1.0,1.0,Equivalent
1K6/P4r2/1k6/8/6p1/6P1/5P2/8 w - - 0 63,onlychesss,tieckl,a7a8n,-9990,-9999,0.0,0.0,Equivalent
